ID;name;latitude;longitude;precision;population;quality
1;city des thiolettes reims;49.247290;4.065562;5;3;4
2;city parc des arenes du sud reims;49.240068;4.039295;5;4.5;3.5
3;city parc jamin reims;49.262602;4.043996;5;2.5;4.5
4;City Wilson WCB reims;49.14193;4.01115;4.5;3.5;4
5;Stade de la muire;49.14556;3.59379;4.5;4;4
6;Terrain de beach-soccer reims;49.238085;4.052617;5;3;5
